1,'WR',44921,'Tekin'
1,'WR',89782,'Tekin'
1,'WR',64969,'Tekin'
1,'RB',94671,'Tekin'
1,'RB',69534,'Tekin'
1,'TE',46005,'Tekin'
1,'QB',45102,'Tekin'
1,'WR',71232,'Kamil'
1,'WR',25687,'Kamil'
1,'WR',15370,'Kamil'
1,'RB',53560,'Kamil'
1,'RB',41277,'Kamil'
1,'TE',43355,'Kamil'
1,'QB',80546,'Kamil'
1,'WR',75427,'Liberatore'
1,'WR',88863,'Liberatore'
1,'WR',84119,'Liberatore'
1,'RB',59246,'Liberatore'
1,'RB',41853,'Liberatore'
1,'TE',51016,'Liberatore'
1,'QB',69806,'Liberatore'
1,'WR',86215,'Meral'
1,'WR',71174,'Meral'
1,'WR',96796,'Meral'
1,'RB',48760,'Meral'
1,'RB',90602,'Meral'
1,'TE',23217,'Meral'
1,'QB',86491,'Meral'
1,'WR',27874,'Connamacher'
1,'WR',19935,'Connamacher'
1,'WR',21531,'Connamacher'
1,'RB',43466,'Connamacher'
1,'RB',61824,'Connamacher'
1,'TE',92050,'Connamacher'
1,'QB',73676,'Connamacher'
1,'WR',43999,'Koyuturk'
1,'WR',43265,'Koyuturk'
1,'WR',96955,'Koyuturk'
1,'RB',74518,'Koyuturk'
1,'RB',73714,'Koyuturk'
1,'TE',39064,'Koyuturk'
1,'QB',68606,'Koyuturk'
1,'WR',81152,'Lewicki'
1,'WR',20924,'Lewicki'
1,'WR',62220,'Lewicki'
1,'RB',89346,'Lewicki'
1,'RB',63473,'Lewicki'
1,'TE',98881,'Lewicki'
1,'QB',93851,'Lewicki'
1,'WR',25722,'Rabinovich'
1,'WR',36428,'Rabinovich'
1,'WR',51414,'Rabinovich'
1,'RB',23068,'Rabinovich'
1,'RB',21846,'Rabinovich'
1,'TE',81807,'Rabinovich'
1,'QB',59657,'Rabinovich'
