11,0,0,0,0,26,0,0,0,0,51729
11,0,0,0,0,50,0,0,0,1,64066
11,0,0,0,0,113,0,0,0,0,69879
11,253,0,3,33,0,0,0,0,0,95972
11,0,0,0,102,12,1,0,0,0,75762
11,0,0,0,2,73,0,48,0,0,62811
11,0,0,0,7,9,0,0,0,0,32207
11,0,0,0,59,13,0,0,0,0,87515
11,0,0,0,0,0,0,0,0,0,92584
11,0,0,0,0,0,0,0,0,0,11117
11,0,0,0,0,0,0,0,0,0,46913
11,0,0,0,0,38,1,6,0,0,68795
11,0,0,0,0,0,0,0,0,0,14691
11,169,0,1,8,0,0,0,0,1,38766
11,0,0,0,0,66,0,0,0,0,43142
11,0,0,0,0,12,0,0,0,0,67281
11,0,0,0,0,118,2,0,0,0,62547
11,0,0,0,63,2,0,0,0,0,24505
11,0,0,0,16,48,0,0,0,0,31240
11,0,0,0,0,0,0,0,0,0,89354
11,0,0,0,0,0,0,0,0,0,94447
11,315,2,0,34,0,0,0,0,2,44066
11,0,0,0,0,0,0,0,0,0,33269
11,0,0,0,0,0,0,0,0,0,89067
11,0,0,0,14,30,0,0,0,0,51980
