11,,,,,,,26,,,,,,51729
11,,,,,,,50,,2,,,1,64066
11,,,,,,,113,,5,,,,69879
11,253,,10,33,,1,,,,,,,95972
11,,,,102,,5,12,1,1,,,,75762
11,,,,2,,,73,,4,48,,,62811
11,,,,7,,3,9,,,,,,32207
11,,,,59,,2,13,,1,,,,87515
11,,,,,,,,,,,,,92584
11,,,,,,,,,,,,,11117
11,,,,,,,,,,,,,46913
11,,,,,,1,38,1,1,6,,,68795
11,,,,,,,,,,,,,14691
11,169,,7,8,,1,,,,,,1,38766
11,,,,,,,66,,3,,,,43142
11,,,,,,,12,,1,,,,67281
11,,,,,,,118,2,5,,,,62547
11,,,,63,,1,2,,,,,,24505
11,,,,16,,1,48,,1,,,,31240
11,,,,,,,,,,,,,89354
11,,,,,,,,,,,,,94447
11,315,,14,34,,2,,,,,,2,44066
11,,,,,,,,,,,,,33269
11,,,,,,,,,,,,,89067
11,,,,14,,,30,,1,,,,51980
,,,,,,,,,,,,,
