69806,'Brady','Tom','NWE','QB'
83634,'Foles','Nick','STL','QB'
68482,'Cutler','Jay','CHI','QB'
21863,'Manning','Eli','NYG','QB'
80546,'Palmer','Carson','ARI','QB'
88898,'Manuel','EJ','BUF','QB'
39664,'Bridgewater','Teddy','MIN','QB'
57670,'Kaepernick','Colin','SFO','QB'
86701,'Newton','Cam','CAR','QB'
44066,'Dalton','Andy','CIN','QB'
94579,'Clausen','Jimmy','CHI','QB'
25671,'Gabbert','Blaine','SFO','QB'
42528,'Manziel','Johnny','CLE','QB'
98271,'Sanchez','Mark','PHI','QB'
68606,'Roethlisberger','Ben','PIT','QB'
61354,'Vick','Michael','PIT','QB'
88285,'Mettenberger','Zach','TEN','QB'
22263,'Mallett','Ryan','HOU','QB'
86491,'Rivers','Philip','SDG','QB'
48965,'Bortles','Blake','JAX','QB'
39872,'Tannehill','Ryan','MIA','QB'
42411,'Keenum','Case','STL','QB'
71442,'Bradford','Sam','PHI','QB'
59657,'Mariota','Marcus','TEN','QB'
45102,'Rodgers','Aaron','GNB','QB'
66378,'Flacco','Joe','BAL','QB'
79266,'Osweiler','Brock','DEN','QB'
91468,'Weeden','Brandon','DAL','QB'
88654,'Hoyer','Brian','HOU','QB'
13532,'Winston','Jameis','TAM','QB'
38776,'Carr','Derek','OAK','QB'
14351,'Romo','Tony','DAL','QB'
37248,'Cousins','Kirk','WAS','QB'
62696,'Stafford','Matthew','DET','QB'
60467,'McCown','Luke','NOR','QB'
80951,'Jones','Landry','PIT','QB'
56040,'Wilson','Russell',SEA','QB'
40235,'Fitzpatrick','Ryan','NYJ','QB'
93851,'Ryan','Matt','ATL','QB'
29300,'Yates','T.J.','HOU','QB'
32006,'Taylor','Tyrod','BUF','QB'
15941,'McCown','Josh','CLE','QB'
73676,'Manning','Peyton','DEN','QB'
92345,'Brees','Drew','NOR','QB'
95972,'Smith','Alex','KAN','QB'
11117,'Luck','Andrew','IND','QB'
